sample_id,final_label,source,sink,path_type,exfilguard_result,zizmor_result,poutine_result,gitleaks_result,error_type
A0001,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0002,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0003,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0004,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0005,NO_EXFIL,"GPG_PRIVATE_KEY@165, GITHUB_TOKEN@201",-,local-only,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0006,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0007,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0008,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0009,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0010,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0011,NO_EXFIL,AUR_SSH_PRIVATE_KEY@27,"ssh://aur@aur.archlinux.org@33 (dich co dinh, hardcode)",auth-to-owner,NO_EXFIL,NO_EXFIL,NO_EXFIL,NO_EXFIL,TN
A0012,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0013,UNCLEAR,ADD_TO_PROJECT_PAT@17,khong xac dinh duoc,unresolved-action,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,excluded-unclear
A0014,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0015,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0016,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0017,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0018,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,EXFIL,NO_EXFIL,TN
A0019,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0020,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0021,UNCLEAR,"SCCACHE_CACHE_ACCESS_KEY@56, SCCACHE_CACHE_SECRET_KEY@57, DOCKER_SECRET@67",khong xac dinh duoc,unresolved-action,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,excluded-unclear
A0022,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0023,UNCLEAR,"BUILDBUDDY_API_KEY@278, CARGOKIT_PRIVATE_KEY@349",khong xac dinh duoc,unresolved-repo-script,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,excluded-unclear
A0024,NO_EXFIL,"HOMEBREW_KOLMAFIA_TOKEN@132, GITHUB_TOKEN@112","curl@129 -> https://api.github.com/repos/kolmafia/homebrew-kolmafia/dispatches@133 (hardcode, repo cua chinh to chuc)",auth-to-owner,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0025,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0026,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,NO_EXFIL,EXFIL,NO_EXFIL,TN
A0027,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0028,NO_EXFIL,"CARGO_REGISTRY_TOKEN@615, GITHUB_TOKEN@47",cargo publish@615 -> crates.io,auth-to-owner,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0029,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0030,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
A0031,UNCLEAR,"ADMIN_EMAIL@17, ADMIN_PASSWORD@18",khong xac dinh duoc,unresolved-repo-script,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,excluded-unclear
A0032,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0033,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,NO_EXFIL,NO_EXFIL,TN
A0034,NO_EXFIL,-,-,agreement-no-review,NO_EXFIL,EXFIL,EXFIL,NO_EXFIL,TN
