review_id,label,source,sink,note
A0001,NO_EXFIL,,,
A0002,NO_EXFIL,,,
A0003,NO_EXFIL,,,
A0004,NO_EXFIL,,,
A0005,NO_EXFIL,,,
A0006,NO_EXFIL,,,
A0007,NO_EXFIL,,,
A0008,NO_EXFIL,,,
A0009,NO_EXFIL,,,
A0010,NO_EXFIL,,,
A0011,NO_EXFIL,,,
A0012,NO_EXFIL,,,
A0013,UNCLEAR,,,(khong ghi ly do)
A0014,NO_EXFIL,,,
A0015,NO_EXFIL,,,
A0016,NO_EXFIL,,,
A0017,NO_EXFIL,,,
A0018,NO_EXFIL,,,
A0019,NO_EXFIL,,,
A0020,NO_EXFIL,,,
A0021,UNCLEAR,,,(khong ghi ly do)
A0022,NO_EXFIL,,,
A0023,UNCLEAR,,,(khong ghi ly do)
A0024,NO_EXFIL,,,
A0025,NO_EXFIL,,,
A0026,NO_EXFIL,,,
A0027,NO_EXFIL,,,
A0028,UNCLEAR,,,(khong ghi ly do)
A0029,NO_EXFIL,,,
A0030,NO_EXFIL,,,
A0031,UNCLEAR,,,(khong ghi ly do)
A0032,NO_EXFIL,,,
A0033,NO_EXFIL,,,
A0034,NO_EXFIL,,,
A0035,NO_EXFIL,,,
A0036,NO_EXFIL,,,
A0037,UNCLEAR,,,(khong ghi ly do)
A0038,NO_EXFIL,,,
A0039,NO_EXFIL,,,
A0040,NO_EXFIL,,,
A0041,NO_EXFIL,,,
A0042,UNCLEAR,,,(khong ghi ly do)
A0043,NO_EXFIL,,,
A0044,NO_EXFIL,,,
A0045,NO_EXFIL,,,
A0046,NO_EXFIL,,,
A0047,UNCLEAR,,,(khong ghi ly do)
A0048,NO_EXFIL,,,
A0049,NO_EXFIL,,,
A0050,NO_EXFIL,,,
A0051,NO_EXFIL,,,
A0052,NO_EXFIL,,,
A0053,NO_EXFIL,,,
A0054,NO_EXFIL,,,
A0055,NO_EXFIL,,,
A0056,NO_EXFIL,,,
A0057,UNCLEAR,,,(khong ghi ly do)
A0058,UNCLEAR,,,(khong ghi ly do)
A0059,NO_EXFIL,,,
A0060,NO_EXFIL,,,
A0061,NO_EXFIL,,,
A0062,NO_EXFIL,,,
A0063,UNCLEAR,,,(khong ghi ly do)
A0064,UNCLEAR,,,(khong ghi ly do)
A0065,UNCLEAR,,,(khong ghi ly do)
A0066,UNCLEAR,,,(khong ghi ly do)
A0067,NO_EXFIL,,,
A0068,UNCLEAR,,,(khong ghi ly do)
A0069,UNCLEAR,,,(khong ghi ly do)
A0070,NO_EXFIL,,,
A0071,NO_EXFIL,,,
A0072,UNCLEAR,,,(khong ghi ly do)
A0073,UNCLEAR,,,(khong ghi ly do)
A0074,UNCLEAR,,,(khong ghi ly do)
A0075,NO_EXFIL,,,
A0076,NO_EXFIL,,,
A0077,NO_EXFIL,,,
